7.461337909316621619e+01,4.898551558009231144e+01
9.576255382927439541e+01,7.686865521577269078e+01
7.450361341428852313e+01,8.152276095388803867e+01
2.713399759972823233e+01,9.089696572639782346e+01
2.134300277770815413e+01,9.502933714744040117e+01
9.865629755011087809e+01,8.019890587333081555e+01
5.838831647732837382e+01,2.947457471049073163e+01
8.596517589023416406e+01,3.739818253835214268e+00
1.347460115385623602e+00,9.451557966464656602e+01
1.400557194350452406e+01,8.044947218737127059e+01
6.015243653288160175e+01,6.215884420949605271e+01
6.227354973915486624e+01,6.059028599428125972e+01
1.439894431599295643e+01,2.740563227162432369e+01
6.110267544818314178e+01,3.848143839291488888e+01
4.146755032672143670e+01,3.403342467625747325e+00
1.415130353795168716e+01,1.733219681624874653e+01
3.601287593729517766e+01,6.969221507246660963e+01
5.843426536376264124e+01,6.917872171276312088e+01
8.855246576515551737e+01,6.938832073824140423e+01
7.551050153371306806e+01,9.241953643593002710e+01
6.663229345419122751e+01,5.819981860425971121e+01
3.678390758624431101e+01,9.295938445652444670e+01
1.573875740068094764e+01,3.179065200931946578e+01
9.493818277078389656e+01,7.423144372559215753e+01
3.241614543955566319e+01,9.787919642222864525e+01
8.731427328528661747e+01,6.725830789008716692e+01
4.299898110184726363e+01,4.906268146481739478e+01
3.461148771363397003e+01,1.471974087569121181e+01
3.513871874769156989e+01,5.424809158872865567e+01
1.618481545479835049e+01,1.001567305961538246e+01
9.076023253399482371e+01,8.321171472012980530e+01
5.689744679232267011e+00,5.587451781765228986e+01
9.687229696193716677e+01,7.108616477448482129e+00
8.287814159081740684e+01,3.017536557593871649e+01
9.980005344298453451e+01,1.813537503072802792e+01
5.984544941544987040e+01,7.445755445678089757e+01
3.547858414911122793e+01,3.533449258644951385e+01
3.980490167521595168e+01,7.245985035806037899e+01
4.716670460752406768e+01,2.177408454212094213e+01
7.771979820457956123e+01,9.172088922215216655e+01
1.749901696507249937e+01,3.756374674357697785e+01
